AFGHANISTAN #  アフガニスタン・イスラム国
URUGUAY #  ウルグアイ東方共和国
USSR #  ソビエト社会主義共和国連邦
UZBEKISTAN #  ウズベキスタン共和国
VANUATU #  バヌアツ共和国
VENEZUELA, BOLIVARIAN REPUBLIC OF #  ベネズエラ・ボリバル共和国
VIET NAM #  ベトナム社会主義共和国
VIETNAM, DEMOCRATIC REPUBLIC OF #  ベトナム民主共和国
VIRGIN ISLANDS, BRITISH #  英領バージン諸島
VIRGIN ISLANDS, U.S. #  米領バージン諸島
WAKE ISLAND #  ウェーク島
WALLIS AND FUTUNA #  ワリス・フテュナ諸島
WESTERN SAHARA #  西サハラ
YEMEN #  イエメン共和国
YEMEN, DEMOCRATIC #  イエメン民主人民共和国
YUGOSLAVIA #  ユーゴスラビア連邦共和国
ZAIRE #  ザイール共和国
ZAMBIA #  ザンビア共和国
ZIMBABWE #  ジンバブエ共和国
